degree,probability,scale
1,0.13381962864721117,loglog
2,0.1225464190981359,loglog
3,0.09734748010609565,loglog
4,0.07525198938991719,loglog
5,0.06567639257294189,loglog
6,0.052785145888592865,loglog
7,0.045384615384614725,loglog
8,0.03647214854111417,loglog
9,0.03360742705570328,loglog
10,0.028381962864721923,loglog
11,0.024190981432360995,loglog
12,0.021326259946949727,loglog
13,0.01896551724137933,loglog
14,0.01564986737400518,loglog
15,0.014854111405835433,loglog
16,0.014217506631299637,loglog
17,0.012705570291777123,loglog
18,0.010795755968169736,loglog
19,0.010450928381962847,loglog
20,0.008753315649867392,loglog
21,0.008408488063660503,loglog
22,0.007851458885941682,loglog
23,0.006816976127320982,loglog
24,0.006392572944297104,loglog
25,0.00578249336870028,loglog
26,0.006525198938992066,loglog
27,0.005384615384615395,loglog
28,0.004694960212201594,loglog
29,0.004137931034482754,loglog
30,0.003766578249336864,loglog
31,0.004137931034482754,loglog
32,0.004244031830238724,loglog
33,0.003554376657824929,loglog
34,0.003209549071618034,loglog
35,0.0027320954907161794,loglog
36,0.0024137931034482764,loglog
37,0.0029442970822281147,loglog
38,0.002254641909814325,loglog
39,0.002254641909814325,loglog
40,0.002546419098143236,loglog
41,0.0020954907161803735,loglog
42,0.0018832891246684377,loglog
43,0.0020689655172413815,loglog
44,0.002493368700265252,loglog
45,0.0016180371352785164,loglog
46,0.001962864721485414,loglog
47,0.0015119363395225478,loglog
48,0.0015119363395225478,loglog
49,0.0014854111405835557,loglog
50,0.0012201591511936344,loglog
51,0.0012997347480106108,loglog
52,0.0010875331564986737,loglog
53,0.0012732095490716187,loglog
54,0.000928381962864721,loglog
55,0.0010875331564986737,loglog
56,0.0011936339522546423,loglog
57,0.0010344827586206895,loglog
58,0.0010875331564986737,loglog
59,0.0011936339522546423,loglog
60,0.0010079575596816973,loglog
61,0.000928381962864721,loglog
62,0.0007957559681697609,loglog
63,0.000901856763925729,loglog
64,0.0006100795755968168,loglog
65,0.0007427055702917769,loglog
66,0.0009549071618037131,loglog
67,0.0005570291777188327,loglog
68,0.0006366047745358088,loglog
69,0.0006100795755968168,loglog
70,0.000901856763925729,loglog
71,0.0006896551724137928,loglog
72,0.00047745358090185664,loglog
73,0.0005305039787798407,loglog
74,0.0006631299734748008,loglog
75,0.0006896551724137928,loglog
76,0.0004509283819628646,loglog
77,0.0005570291777188327,loglog
78,0.0004509283819628646,loglog
79,0.0007161803713527849,loglog
80,0.0003183023872679045,loglog
81,0.0005570291777188327,loglog
82,0.0005039787798408487,loglog
83,0.0003448275862068965,loglog
84,0.0003183023872679045,loglog
85,0.0004244031830238726,loglog
86,0.00039787798408488057,loglog
87,0.0004244031830238726,loglog
88,0.0005039787798408487,loglog
89,0.0004244031830238726,loglog
90,0.00039787798408488057,loglog
91,0.00037135278514588855,loglog
92,0.00037135278514588855,loglog
93,0.00023872679045092843,loglog
94,0.0005305039787798407,loglog
95,0.00021220159151193638,loglog
96,0.0003183023872679045,loglog
97,0.0003183023872679045,loglog
98,0.00026525198938992045,loglog
99,0.00026525198938992045,loglog
100,0.0003448275862068965,loglog
101,0.00026525198938992045,loglog
102,0.00026525198938992045,loglog
103,0.00026525198938992045,loglog
104,0.0004509283819628646,loglog
105,0.00018567639257294433,loglog
106,0.00021220159151193638,loglog
107,0.00021220159151193638,loglog
108,0.00015915119363395228,loglog
109,0.00015915119363395228,loglog
110,0.00021220159151193638,loglog
111,0.00015915119363395228,loglog
112,0.00010610079575596818,loglog
113,0.00026525198938992045,loglog
114,7.957559681697613e-05,loglog
115,0.0002917771883289125,loglog
116,0.0002917771883289125,loglog
117,0.00021220159151193638,loglog
118,0.00015915119363395228,loglog
119,0.00018567639257294433,loglog
120,0.00013262599469496023,loglog
121,0.00015915119363395228,loglog
122,0.00018567639257294433,loglog
123,0.00010610079575596818,loglog
124,0.00015915119363395228,loglog
125,0.00010610079575596818,loglog
126,0.00021220159151193638,loglog
127,0.00021220159151193638,loglog
128,0.00013262599469496023,loglog
129,0.00015915119363395228,loglog
130,0.00015915119363395228,loglog
131,5.305039787798409e-05,loglog
132,0.0002917771883289125,loglog
133,0.00015915119363395228,loglog
134,0.00023872679045092843,loglog
135,7.957559681697613e-05,loglog
136,0.00021220159151193638,loglog
137,5.305039787798409e-05,loglog
138,5.305039787798409e-05,loglog
139,7.957559681697613e-05,loglog
140,7.957559681697613e-05,loglog
141,2.6525198938992044e-05,loglog
142,0.00015915119363395228,loglog
143,7.957559681697613e-05,loglog
144,0.00018567639257294433,loglog
145,7.957559681697613e-05,loglog
146,0.00010610079575596818,loglog
147,0.00013262599469496023,loglog
148,0.00018567639257294433,loglog
149,2.6525198938992044e-05,loglog
150,5.305039787798409e-05,loglog
151,0.00021220159151193638,loglog
152,7.957559681697613e-05,loglog
153,0.00010610079575596818,loglog
154,0.00013262599469496023,loglog
155,0.00013262599469496023,loglog
157,5.305039787798409e-05,loglog
158,5.305039787798409e-05,loglog
159,2.6525198938992044e-05,loglog
160,0.00010610079575596818,loglog
162,5.305039787798409e-05,loglog
163,0.00010610079575596818,loglog
164,7.957559681697613e-05,loglog
165,7.957559681697613e-05,loglog
